Reprise depuis weights/weights.txt (768-256-1)
[t=1m21s | reste 28m38s] parties=300 | loss=0.1654 | grad=6.427 | V: moy=-0.012 sigma=1.162 [-4.44,6.44] | pool=1
[t=2m45s | reste 27m14s] parties=600 | loss=0.1710 | grad=6.822 | V: moy=0.173 sigma=1.081 [-3.66,4.90] | pool=2
[t=3m47s | reste 26m12s] parties=900 | loss=0.2450 | grad=8.503 | V: moy=-0.120 sigma=0.831 [-4.31,4.58] | pool=3
[t=4m49s | reste 25m10s] parties=1200 | loss=0.2334 | grad=8.138 | V: moy=-0.013 sigma=0.874 [-3.90,3.60] | pool=4
[t=5m53s | reste 24m06s] parties=1500 | loss=0.2226 | grad=8.018 | V: moy=-0.069 sigma=1.014 [-5.06,4.96] | pool=5
[t=7m00s | reste 22m59s] parties=1800 | loss=0.1997 | grad=7.566 | V: moy=-0.127 sigma=1.019 [-4.51,3.83] | pool=6
[t=8m06s | reste 21m53s] parties=2100 | loss=0.2299 | grad=8.064 | V: moy=-0.085 sigma=1.088 [-4.15,4.83] | pool=7
[t=9m17s | reste 20m42s] parties=2400 | loss=0.1882 | grad=7.247 | V: moy=-0.142 sigma=1.014 [-5.16,3.92] | pool=8
[t=10m27s | reste 19m32s] parties=2700 | loss=0.1708 | grad=6.731 | V: moy=-0.074 sigma=1.019 [-3.67,5.76] | pool=9
[t=11m40s | reste 18m19s] parties=3000 | loss=0.1765 | grad=7.036 | V: moy=-0.088 sigma=1.073 [-4.79,4.21] | pool=10
[t=12m54s | reste 17m05s] parties=3300 | loss=0.1710 | grad=6.900 | V: moy=-0.078 sigma=1.099 [-4.47,4.45] | pool=10
[t=14m08s | reste 15m51s] parties=3600 | loss=0.1733 | grad=7.003 | V: moy=-0.165 sigma=1.105 [-4.41,4.56] | pool=10
[t=15m22s | reste 14m37s] parties=3900 | loss=0.1863 | grad=7.148 | V: moy=-0.098 sigma=1.147 [-6.13,4.64] | pool=10
[t=16m37s | reste 13m22s] parties=4200 | loss=0.1484 | grad=6.288 | V: moy=-0.175 sigma=1.060 [-4.53,3.91] | pool=10
[t=17m49s | reste 12m10s] parties=4500 | loss=0.1616 | grad=6.728 | V: moy=-0.161 sigma=1.114 [-4.58,4.36] | pool=10
[t=19m08s | reste 10m51s] parties=4800 | loss=0.1754 | grad=7.005 | V: moy=-0.160 sigma=1.109 [-4.42,5.32] | pool=10
[t=20m39s | reste 9m20s] parties=5100 | loss=0.1689 | grad=6.795 | V: moy=-0.149 sigma=1.134 [-4.35,4.30] | pool=10
[t=22m22s | reste 7m37s] parties=5400 | loss=0.1564 | grad=6.558 | V: moy=-0.101 sigma=1.089 [-4.58,4.41] | pool=10
[t=24m02s | reste 5m57s] parties=5700 | loss=0.1621 | grad=6.639 | V: moy=-0.243 sigma=1.115 [-4.60,3.99] | pool=10
[t=25m48s | reste 4m11s] parties=6000 | loss=0.1458 | grad=6.309 | V: moy=-0.096 sigma=1.055 [-4.66,4.38] | pool=10
[t=27m30s | reste 2m29s] parties=6300 | loss=0.1599 | grad=6.607 | V: moy=-0.182 sigma=1.085 [-4.95,4.34] | pool=10
[t=29m06s | reste 0m53s] parties=6600 | loss=0.1619 | grad=6.723 | V: moy=-0.069 sigma=1.143 [-4.94,4.34] | pool=10
[t=30m49s | reste 0m00s] parties=6900 | loss=0.1528 | grad=6.413 | V: moy=-0.170 sigma=1.099 [-4.55,5.34] | pool=10
Termine. 6900 parties. Poids dans weights/weights.txt
